"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"18/06/2025","1.595","1.600","1.605","1.590","189,60K","0,00%"
"17/06/2025","1.595","1.580","1.600","1.580","276,00K","0,95%"
"16/06/2025","1.580","1.560","1.590","1.555","155,60K","1,28%"
"13/06/2025","1.560","1.565","1.570","1.550","353,10K","0,00%"
"12/06/2025","1.560","1.565","1.570","1.555","339,10K","0,65%"
"11/06/2025","1.550","1.565","1.565","1.550","312,10K","-0,96%"
"10/06/2025","1.565","1.595","1.595","1.555","308,70K","0,32%"
"05/06/2025","1.560","1.580","1.605","1.560","161,30K","-0,32%"
"04/06/2025","1.565","1.580","1.585","1.560","79,10K","-0,63%"
"03/06/2025","1.575","1.590","1.590","1.570","200,80K","-0,94%"
"02/06/2025","1.590","1.615","1.615","1.575","231,40K","-1,24%"
"28/05/2025","1.610","1.610","1.615","1.590","166,50K","-0,31%"
"27/05/2025","1.615","1.625","1.625","1.610","76,80K","-0,31%"
"26/05/2025","1.620","1.615","1.625","1.610","48,40K","0,62%"
"23/05/2025","1.610","1.605","1.615","1.605","44,90K","0,31%"
"22/05/2025","1.605","1.605","1.615","1.600","96,60K","0,00%"
"21/05/2025","1.605","1.610","1.625","1.600","42,90K","-0,31%"
"20/05/2025","1.610","1.600","1.625","1.600","65,60K","1,26%"
"19/05/2025","1.590","1.570","1.745","1.570","568,20K","1,27%"
"16/05/2025","1.570","1.555","1.570","1.545","134,30K","0,96%"
"15/05/2025","1.555","1.535","1.560","1.530","148,40K","1,30%"
"14/05/2025","1.535","1.530","1.540","1.520","181,70K","0,66%"
"09/05/2025","1.525","1.495","1.525","1.485","121,50K","0,99%"
"08/05/2025","1.510","1.515","1.550","1.485","84,70K","-0,33%"
"07/05/2025","1.515","1.475","1.515","1.475","84,60K","1,68%"
"06/05/2025","1.490","1.465","1.495","1.465","38,80K","2,05%"
"05/05/2025","1.460","1.480","1.510","1.445","404,10K","-1,35%"
"02/05/2025","1.480","1.510","1.525","1.460","505,30K","-1,99%"
"30/04/2025","1.510","1.525","1.525","1.495","50,80K","-0,98%"
"29/04/2025","1.525","1.525","1.530","1.490","256,90K","-2,56%"
"28/04/2025","1.565","1.565","1.595","1.535","76,80K","0,32%"
"25/04/2025","1.560","1.550","1.560","1.530","51,80K","1,96%"
"24/04/2025","1.530","1.500","1.555","1.500","54,30K","1,32%"
"23/04/2025","1.510","1.480","1.510","1.475","96,70K","2,03%"
"22/04/2025","1.480","1.500","1.500","1.480","67,60K","0,34%"
"21/04/2025","1.475","1.495","1.505","1.450","56,60K","-1,34%"
"17/04/2025","1.495","1.500","1.500","1.480","15,40K","-0,33%"
"16/04/2025","1.500","1.415","1.500","1.400","60,70K","1,35%"
"15/04/2025","1.480","1.440","1.495","1.440","66,80K","3,50%"
"14/04/2025","1.430","1.425","1.470","1.410","97,40K","0,35%"
"11/04/2025","1.425","1.430","1.435","1.400","16,00K","-0,35%"
"10/04/2025","1.430","1.385","1.430","1.385","15,40K","3,25%"
"09/04/2025","1.385","1.365","1.405","1.355","90,20K","1,47%"
"08/04/2025","1.365","1.435","1.440","1.350","162,10K","-6,51%"
"27/03/2025","1.460","1.465","1.485","1.455","34,60K","1,04%"
"26/03/2025","1.445","1.435","1.490","1.410","141,30K","0,70%"
"25/03/2025","1.435","1.445","1.445","1.430","33,90K","-0,69%"
"24/03/2025","1.445","1.505","1.505","1.430","55,90K","-1,70%"
"21/03/2025","1.470","1.500","1.500","1.450","49,50K","-1,67%"
"20/03/2025","1.495","1.480","1.525","1.480","3,40K","1,36%"
"19/03/2025","1.475","1.475","1.480","1.440","25,70K","0,00%"
"18/03/2025","1.475","1.485","1.500","1.445","105,80K","-1,01%"
"17/03/2025","1.490","1.500","1.510","1.485","26,20K","-0,67%"
"14/03/2025","1.500","1.495","1.505","1.485","7,20K","0,67%"
"13/03/2025","1.490","1.490","1.530","1.490","53,70K","0,34%"
"12/03/2025","1.485","1.500","1.500","1.475","26,70K","-0,67%"
"11/03/2025","1.495","1.505","1.505","1.495","7,10K","-1,32%"
"10/03/2025","1.515","1.525","1.535","1.510","9,50K","1,00%"
"07/03/2025","1.500","1.530","1.530","1.495","59,70K","0,33%"
"06/03/2025","1.495","1.505","1.505","1.490","16,20K","0,00%"
"05/03/2025","1.495","1.505","1.505","1.480","32,30K","-0,66%"
"04/03/2025","1.505","1.510","1.510","1.480","24,10K","1,01%"
"03/03/2025","1.490","1.465","1.525","1.445","112,00K","2,76%"
"28/02/2025","1.450","1.505","1.510","1.450","209,20K","-3,65%"
"27/02/2025","1.505","1.525","1.525","1.500","60,90K","-1,63%"
"26/02/2025","1.530","1.535","1.540","1.510","48,50K","-0,33%"
"25/02/2025","1.535","1.550","1.550","1.535","49,60K","-0,97%"
"24/02/2025","1.550","1.545","1.565","1.520","66,40K","0,00%"
"21/02/2025","1.550","1.580","1.580","1.530","325,90K","-1,90%"
"20/02/2025","1.580","1.620","1.620","1.575","178,10K","-1,56%"
